City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carnarvon,-24.8667,113.6333,73.47,46,15,20.71,AU,2022-02-07 00:35:18
1,Wanning,18.8003,110.3967,72.72,90,52,5.86,CN,2022-02-07 00:38:24
2,Puerto Ayora,-0.7393,-90.3518,74.55,92,15,4.0,EC,2022-02-07 00:38:25
3,Mataura,-46.1927,168.8643,60.48,36,21,1.88,NZ,2022-02-07 00:38:25
4,Annonay,45.2397,4.6708,48.85,85,100,3.94,FR,2022-02-07 00:38:26
5,Upernavik,72.7868,-56.1549,-16.53,100,100,9.57,GL,2022-02-07 00:38:27
6,New Norfolk,-42.7826,147.0587,74.66,31,0,3.44,AU,2022-02-07 00:38:22
7,Luderitz,-26.6481,15.1594,70.07,70,26,5.26,NA,2022-02-07 00:37:27
8,Hasaki,35.7333,140.8333,39.29,37,6,9.69,JP,2022-02-07 00:38:28
9,Vilhena,-12.7406,-60.1458,69.69,98,100,2.62,BR,2022-02-07 00:38:28
10,Cape Town,-33.9258,18.4232,64.27,85,20,3.44,ZA,2022-02-07 00:38:29
11,Cherskiy,68.75,161.3,-28.46,100,21,0.25,RU,2022-02-07 00:38:29
12,Show Low,34.2542,-110.0298,46.11,23,0,11.5,US,2022-02-07 00:38:30
13,Tuktoyaktuk,69.4541,-133.0374,-27.4,75,75,13.8,CA,2022-02-07 00:38:30
14,Vestmannaeyjar,63.4427,-20.2734,37.9,75,100,42.64,IS,2022-02-07 00:38:31
15,Kirakira,-10.4544,161.9205,84.94,76,100,10.98,SB,2022-02-07 00:38:32
16,Aklavik,68.2191,-135.0107,-22.97,92,100,18.68,CA,2022-02-07 00:38:33
17,Bethel,41.3712,-73.414,26.76,73,0,4.61,US,2022-02-07 00:38:33
18,Faya,18.3851,42.4509,48.72,80,15,2.71,SA,2022-02-07 00:38:03
19,Arraial Do Cabo,-22.9661,-42.0278,76.21,89,2,21.25,BR,2022-02-07 00:38:34
20,Kapaa,22.0752,-159.319,79.2,71,90,4.0,US,2022-02-07 00:38:16
21,Chumikan,54.7183,135.315,-7.08,85,16,13.35,RU,2022-02-07 00:38:36
22,Oranjestad,12.524,-70.027,78.75,73,20,14.97,AW,2022-02-07 00:38:01
23,Port Alfred,-33.5906,26.891,74.41,79,100,4.29,ZA,2022-02-07 00:38:37
24,Margate,51.3813,1.3862,43.75,67,4,11.99,GB,2022-02-07 00:38:09
25,Vaini,-21.2,-175.2,77.16,94,75,14.97,TO,2022-02-07 00:38:38
26,Mar Del Plata,-38.0023,-57.5575,66.09,81,75,4.0,AR,2022-02-07 00:38:39
27,Muravlenko,63.7898,74.523,-17.93,100,97,7.2,RU,2022-02-07 00:38:39
28,Haines Junction,60.7522,-137.5108,40.95,38,11,10.36,CA,2022-02-07 00:38:40
